205,American Animals,"Jun 1, 2018",The Orchard,Thriller/Suspense,"$2,853,526","318,118"
206,God Bless the Broken Road,"Sep 7, 2018",Freestyle Releasing,Drama,"$2,846,258","317,308"
207,La Boda de Valentina,"Feb 9, 2018",Lionsgate,Romantic Comedy,"$2,783,739","310,339"
208,Bharat Ane Nenu,"Apr 20, 2018",Great India Films,Thriller/Suspense,"$2,663,090","296,888"
209,You Were Never Really Here,"Apr 6, 2018",Amazon Studios,Drama,"$2,523,610","281,338"
210,Ben is Back,"Dec 7, 2018",Roadside Attractions,Drama,"$2,511,840","280,026"
211,Suspiria,"Oct 26, 2018",Amazon Studios,Horror,"$2,483,472","276,864"
212,The Rider,"Apr 13, 2018",Sony Pictures Cla…,Drama,"$2,418,679","269,640"
213,Mary and the Witchâs Flower,"Jan 19, 2018",GKIDS,Adventure,"$2,418,404","269,610"
214,Hearts Beat Loud,"Jun 8, 2018",Gunpowder & Sky,Drama,"$2,386,254","266,026"
215,Papillon,"Aug 24, 2018",Bleecker Street,Drama,"$2,335,896","260,412"
216,Daddyâs Home 2,"Nov 10, 2017",Paramount Pictures,Comedy,"$2,238,062","249,505"
217,Murder on the Orient Express,"Nov 10, 2017",20th Century Fox,Drama,"$2,206,919","246,033"
218,Puzzle,"Jul 27, 2018",Sony Pictures Cla…,Drama,"$2,031,242","226,448"
219,A Fantastic Woman,"Feb 2, 2018",Sony Pictures Cla…,Drama,"$2,019,554","225,145"
220,Pope FrancisâA Man of His W…,"May 18, 2018",Focus Features,Documentary,"$2,008,385","223,900"
221,Assassination Nation,"Sep 21, 2018",Neon,Thriller/Suspense,"$2,005,142","223,538"
222,The Front Runner,"Nov 6, 2018",Sony Pictures,Drama,"$1,994,179","222,316"
223,Detective Chinatown 2,"Feb 16, 2018",Warner Bros.,Action,"$1,983,984","221,180"
224,At Eternityâs Gate,"Nov 16, 2018",CBS Films,Drama,"$1,976,942","220,394"
225,Dunkirk,"Jul 21, 2017",Warner Bros.,Action,"$1,695,119","188,976"
226,Race 3,"Jun 15, 2018",Yash Raj Films,Action,"$1,690,861","188,501"
227,Padman,"Feb 9, 2018",Sony Pictures,Comedy,"$1,662,927","185,387"
228,Shoplifters,"Nov 23, 2018",Magnolia Pictures,Drama,"$1,646,805","183,590"
229,A Private War,"Nov 2, 2018",Aviron Pictures,Drama,"$1,623,111","180,948"
230,The Bookshop,"Aug 24, 2018",Greenwich,Drama,"$1,600,786","178,459"
231,Operation Red Sea,"Feb 23, 2018",Well Go USA,Action,"$1,543,547","172,078"
232,Thugs of Hindostan,"Nov 8, 2018",Yash Raj Films,Action,"$1,449,848","161,632"
233,"Donât Worry, He Wonât Get F…","Jul 13, 2018",Amazon Studios,Drama,"$1,441,705","160,725"
234,Finding Your Feet,"Mar 30, 2018",Roadside Attractions,Comedy,"$1,418,682","158,158"
235,Little Women,"Sep 28, 2018",Pinnacle Peak,Drama,"$1,379,497","153,790"
236,102 Not Out,"May 4, 2018",Sony Pictures,Comedy,"$1,339,909","149,376"
237,Baaghi 2,"Mar 30, 2018",FIP,Action,"$1,319,579","147,110"
